Region,ResourceType,ID,Name,State,Details,CreationDate
ap-southeast-1,S3 Bucket,ciscocml1,ciscocml1,N/A,"{""location_constraint"": ""ap-southeast-1""}",2024-09-09T15:42:20+00:00
us-west-2,S3 Bucket,ciscocml2,ciscocml2,N/A,"{""location_constraint"": ""us-west-2""}",2024-09-13T08:46:54+00:00
us-east-2,S3 Bucket,criterion01-dev,criterion01-dev,N/A,"{""location_constraint"": ""us-east-2""}",2025-08-26T07:26:45+00:00
us-west-2,S3 Bucket,infrastructure-as-a-code-terraform,infrastructure-as-a-code-terraform,N/A,"{""location_constraint"": ""us-west-2""}",2024-10-14T09:33:19+00:00
us-east-1,S3 Bucket,learning-workshops,learning-workshops,N/A,"{""location_constraint"": ""us-east-1""}",2024-03-09T15:52:42+00:00
global,IAM User,AIDAXNMMFCADD4CZMMBLA,Appu,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/Appu"", ""password_last_used"": ""2025-01-23T05:40:27+00:00"", ""tags"": ""AKIAXNMMFCADPSZJTQVS=demo, AKIAXNMMFCADLZZUTIE7=to create AMI for running instances""}",2023-09-06T05:46:34+00:00
global,IAM User,AIDAXNMMFCADLMMVFPSYY,bikram_cn,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/bikram_cn"", ""password_last_used"": ""2024-10-16T12:43:25+00:00"", ""tags"": ""AKIAXNMMFCADMXJKD4OW=for vmanage, AKIAXNMMFCADGD6CKB75=DNAC-Launchpad""}",2023-02-21T05:43:25+00:00
global,IAM User,AIDAXNMMFCADIIAQH2KZS,dhanunjaya,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/dhanunjaya"", ""password_last_used"": ""2025-05-07T05:35:40+00:00"", ""tags"": ""AKIAXNMMFCADDJJ7CR6L=terraform""}",2024-07-12T19:30:08+00:00
global,IAM User,AIDAXNMMFCADGJFQDFBKG,dhanunjaya_cn,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/dhanunjaya_cn"", ""password_last_used"": ""2024-11-18T08:45:03+00:00"", ""tags"": ""AKIAXNMMFCADFPTK2VUI=dhanunjaya, purpose=dnac""}",2022-10-25T09:45:13+00:00
global,IAM User,AIDAXNMMFCADCBPDFLUH2,guna_cn,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/guna_cn"", ""password_last_used"": ""2025-09-22T03:26:19+00:00"", ""tags"": ""N/A""}",2024-04-24T20:47:52+00:00
global,IAM User,AIDAXNMMFCADMOBQKP4HJ,hnair_cn,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/hnair_cn"", ""password_last_used"": ""2025-11-04T07:28:45+00:00"", ""tags"": ""N/A""}",2025-11-04T07:25:52+00:00
global,IAM User,AIDAXNMMFCADL5KLPTIZ5,iac_user1,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user1"", ""password_last_used"": ""2024-10-09T07:09:46+00:00"", ""tags"": ""AKIAXNMMFCADJSVZNY5P=iac_user1""}",2024-07-15T09:47:23+00:00
global,IAM User,AIDAXNMMFCADPE6JSQ5QX,iac_user10,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user10"", ""password_last_used"": ""2025-08-25T07:17:30+00:00"", ""tags"": ""AKIAXNMMFCADCCBNRDO7=iac_user10""}",2024-07-18T17:53:23+00:00
global,IAM User,AIDAXNMMFCADMHG4TVIXC,iac_user11,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user11"", ""password_last_used"": ""2025-08-26T04:00:22+00:00"", ""tags"": ""AKIAXNMMFCADLZQUYNER=iac_user11""}",2024-07-18T17:56:03+00:00
global,IAM User,AIDAXNMMFCADCGAHGVRPD,iac_user12,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user12"", ""password_last_used"": ""2024-07-23T05:22:52+00:00"", ""tags"": ""AKIAXNMMFCADG3WM7X3G=iac_user12""}",2024-07-18T17:57:51+00:00
global,IAM User,AIDAXNMMFCADE6V2CM4VC,iac_user13,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user13"", ""password_last_used"": ""N/A"", ""tags"": ""AKIAXNMMFCADJBBRVC6I=iac_user13""}",2024-07-18T17:59:30+00:00
global,IAM User,AIDAXNMMFCADB5BMOTZC3,iac_user2,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user2"", ""password_last_used"": ""2025-08-26T06:24:18+00:00"", ""tags"": ""AKIAXNMMFCADASD26OYL=iac_user2""}",2024-07-18T17:22:53+00:00
global,IAM User,AIDAXNMMFCADH5DOHFJ2A,iac_user3,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user3"", ""password_last_used"": ""2025-08-26T06:15:09+00:00"", ""tags"": ""AKIAXNMMFCADG4MCX2HH=iac_user3""}",2024-07-18T17:28:48+00:00
global,IAM User,AIDAXNMMFCADOAG542LJL,iac_user4,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user4"", ""password_last_used"": ""2025-08-26T04:52:25+00:00"", ""tags"": ""AKIAXNMMFCADG3LTID7B=iac_user4""}",2024-07-18T17:30:51+00:00
global,IAM User,AIDAXNMMFCADPQHG7EVEL,iac_user5,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user5"", ""password_last_used"": ""2025-08-26T05:59:46+00:00"", ""tags"": ""AKIAXNMMFCADA26SW2WH=iac_user5""}",2024-07-18T17:39:16+00:00
global,IAM User,AIDAXNMMFCADG6OPRVN4K,iac_user6,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user6"", ""password_last_used"": ""2025-08-29T15:30:01+00:00"", ""tags"": ""AKIAXNMMFCADMMFCRXG4=iac_user6""}",2024-07-18T17:43:59+00:00
global,IAM User,AIDAXNMMFCADAVSU52HP6,iac_user7,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user7"", ""password_last_used"": ""2025-08-26T06:24:34+00:00"", ""tags"": ""AKIAXNMMFCADGO44ZCXH=iac_user7""}",2024-07-18T17:45:34+00:00
global,IAM User,AIDAXNMMFCADNJHV5B5KE,iac_user8,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user8"", ""password_last_used"": ""N/A"", ""tags"": ""AKIAXNMMFCADKMB2SEPS=iac_user8""}",2024-07-18T17:47:36+00:00
global,IAM User,AIDAXNMMFCADBM22C7U6U,iac_user9,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/iac_user9"", ""password_last_used"": ""N/A"", ""tags"": ""AKIAXNMMFCADHDG24YCO=iac_user9""}",2024-07-18T17:49:26+00:00
global,IAM User,AIDAXNMMFCADCM2FVK6DG,kishore_cn,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/kishore_cn"", ""password_last_used"": ""2025-11-06T05:38:54+00:00"", ""tags"": ""N/A""}",2022-04-21T06:45:37+00:00
global,IAM User,AIDAXNMMFCADOG4HLLVCD,megaport-telemetry-user,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/megaport-telemetry-user"", ""password_last_used"": ""2025-04-10T09:28:46+00:00"", ""tags"": ""AKIAXNMMFCADEEK4ORRX=vmanagetestdemo""}",2022-02-04T10:15:17+00:00
global,IAM User,AIDAXNMMFCADKM3FD2P6E,mohan_cn,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/mohan_cn"", ""password_last_used"": ""2025-09-30T12:52:37+00:00"", ""tags"": ""N/A""}",2024-07-18T11:38:31+00:00
global,IAM User,AIDAXNMMFCADH4UHCXY3B,naresha,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/naresha"", ""password_last_used"": ""2025-06-13T18:51:17+00:00"", ""tags"": ""N/A""}",2020-10-19T10:33:30+00:00
global,IAM User,AIDAXNMMFCADBYA65KVI5,nayana_criterion,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/nayana_criterion"", ""password_last_used"": ""2024-10-01T03:50:32+00:00"", ""tags"": ""N/A""}",2020-10-19T10:18:36+00:00
global,IAM User,AIDAXNMMFCADLLLLZ6PG2,nishanth,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/nishanth"", ""password_last_used"": ""2025-01-04T02:39:27+00:00"", ""tags"": ""AKIAXNMMFCADOIAA5XP6=terraform""}",2024-02-12T05:50:08+00:00
global,IAM User,AIDAXNMMFCADGLWHIRP2S,Rajeev_cn,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/Rajeev_cn"", ""password_last_used"": ""2024-08-13T02:54:07+00:00"", ""tags"": ""Name=Rajeev""}",2022-10-27T12:07:10+00:00
global,IAM User,AIDAXNMMFCADBIR6LZDRQ,region13,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/region13"", ""password_last_used"": ""N/A"", ""tags"": ""AKIAXNMMFCADDB5WINF5=USER1""}",2025-07-18T09:11:54+00:00
global,IAM User,AIDAXNMMFCADCNXIN6OX4,region2,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/region2"", ""password_last_used"": ""N/A"", ""tags"": ""N/A""}",2025-07-18T07:32:57+00:00
global,IAM User,AIDAXNMMFCADFKLGEZWMT,region3,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/region3"", ""password_last_used"": ""N/A"", ""tags"": ""N/A""}",2025-07-18T09:11:47+00:00
global,IAM User,AIDAXNMMFCADDFYGJU2VW,region4,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/region4"", ""password_last_used"": ""N/A"", ""tags"": ""N/A""}",2025-07-18T09:11:34+00:00
global,IAM User,AIDAXNMMFCADNBQYMMU2D,region5,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/region5"", ""password_last_used"": ""N/A"", ""tags"": ""N/A""}",2025-07-18T09:16:47+00:00
global,IAM User,AIDAXNMMFCADARPFRHXIX,region6,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/region6"", ""password_last_used"": ""N/A"", ""tags"": ""N/A""}",2025-07-18T09:11:52+00:00
global,IAM User,AIDAXNMMFCADPU422RHIX,region9,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/region9"", ""password_last_used"": ""N/A"", ""tags"": ""N/A""}",2025-07-18T09:14:25+00:00
global,IAM User,AIDAXNMMFCADMF5GJW4N4,schandra_cn,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/schandra_cn"", ""password_last_used"": ""2025-01-20T14:37:35+00:00"", ""tags"": ""N/A""}",2024-06-27T00:54:45+00:00
global,IAM User,AIDAXNMMFCADGIAF36NRB,susil_cn,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/susil_cn"", ""password_last_used"": ""2024-10-28T09:59:13+00:00"", ""tags"": ""N/A""}",2023-09-19T09:49:02+00:00
global,IAM User,AIDAXNMMFCADNFDYCBJYY,test-hk,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/test-hk"", ""password_last_used"": ""N/A"", ""tags"": ""AKIAXNMMFCADI3JOAYRS=hk-test""}",2025-01-24T11:22:26+00:00
global,IAM User,AIDAXNMMFCADAGFA23AUF,test-user-100,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/test-user-100"", ""password_last_used"": ""N/A"", ""tags"": ""AKIAXNMMFCADN7UES34S=Key to be use to test out AWS CloudonRamp Lab""}",2023-06-29T11:28:14+00:00
global,IAM User,AIDAXNMMFCADLN7B4ZCFU,testuser_aws_onramp,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/testuser_aws_onramp"", ""password_last_used"": ""2021-11-30T02:31:22+00:00"", ""tags"": ""N/A""}",2021-11-30T02:30:29+00:00
global,IAM User,AIDAXNMMFCADAEQRSYCE3,user1,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/user1"", ""password_last_used"": ""N/A"", ""tags"": ""N/A""}",2025-08-25T10:28:25+00:00
global,IAM User,AIDAXNMMFCADFTCF3SEWV,user11,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/user11"", ""password_last_used"": ""N/A"", ""tags"": ""N/A""}",2025-08-25T10:40:52+00:00
global,IAM User,AIDAXNMMFCADH7XKVAVGM,user2,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/user2"", ""password_last_used"": ""N/A"", ""tags"": ""N/A""}",2025-08-25T10:28:25+00:00
global,IAM User,AIDAXNMMFCADDVYHI2NRC,user22,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/user22"", ""password_last_used"": ""N/A"", ""tags"": ""N/A""}",2025-08-25T10:40:52+00:00
global,IAM User,AIDAXNMMFCADH6BGVSDCE,user3,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/user3"", ""password_last_used"": ""N/A"", ""tags"": ""N/A""}",2025-08-25T10:28:25+00:00
global,IAM User,AIDAXNMMFCADD6DPWTYDV,user33,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/user33"", ""password_last_used"": ""N/A"", ""tags"": ""N/A""}",2025-08-25T10:40:52+00:00
global,IAM User,AIDAXNMMFCADCKLCINJMA,vmanage-test,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/vmanage-test"", ""password_last_used"": ""N/A"", ""tags"": ""AKIAXNMMFCADHLL2SJ5N=vManage-TEST-APB""}",2023-10-25T08:26:42+00:00
global,IAM User,AIDAXNMMFCADPLH44CTVF,vmanageuser,N/A,"{""arn"": ""arn:aws:iam::509784428550:user/vmanageuser"", ""password_last_used"": ""N/A"", ""tags"": ""AKIAXNMMFCADFU43DGGV=vmanage""}",2023-10-26T10:36:46+00:00
global,IAM Group,AGPAXNMMFCADAW4UUILJC,Admin,N/A,"{""arn"": ""arn:aws:iam::509784428550:group/Admin"", ""path"": ""/""}",2020-11-26T14:13:56+00:00
global,IAM Group,AGPAXNMMFCADAM4PFAN5L,dev,N/A,"{""arn"": ""arn:aws:iam::509784428550:group/dev"", ""path"": ""/""}",2022-01-10T08:29:56+00:00
global,IAM Group,AGPAXNMMFCADBFWMKHRMM,iaas_users,N/A,"{""arn"": ""arn:aws:iam::509784428550:group/iaas_users"", ""path"": ""/""}",2024-10-14T10:56:22+00:00
global,IAM Group,AGPAXNMMFCADKORMRA36E,iac_users,N/A,"{""arn"": ""arn:aws:iam::509784428550:group/iac_users"", ""path"": ""/""}",2024-07-15T09:47:12+00:00
ap-south-1,Subnet,subnet-041baf80568b279e9,subnet01,available,"{""vpc_id"": ""vpc-a0fac0c8"", ""cidr_block"": ""172.31.0.0/24"", ""availability_zone"": ""ap-south-1b"", ""available_ip_count"": 251, ""map_public_ip_on_launch"": true, ""tags"": ""Name=subnet01""}",N/A
eu-west-2,Subnet,subnet-0c8006d21c659e210,my-subnet,available,"{""vpc_id"": ""vpc-098ce661"", ""cidr_block"": ""172.31.0.0/16"", ""availability_zone"": ""eu-west-2b"", ""available_ip_count"": 65531, ""map_public_ip_on_launch"": false, ""tags"": ""Name=my-subnet""}",N/A
ap-northeast-1,EC2 Key Pair,key-04c687054043ba4d4,myAWSkey1,N/A,"{""fingerprint"": ""15:6a:2e:9d:81:b0:ec:79:d9:69:11:1a:21:0c:57:d5:3f:2f:e6:2f"", ""key_pair_id"": ""key-04c687054043ba4d4"", ""tags"": ""N/A""}",2021-11-22T09:18:24+00:00
ap-southeast-1,EC2 AMI,ami-0039d2d81f72a8742,CML_CISCO,available,"{""description"": ""CML_CISCO"", ""public"": false, ""image_type"": ""machine"", ""root_device_type"": ""ebs"", ""virtualization_type"": ""hvm"", ""tags"": ""N/A""}",2025-11-05T15:13:05.000Z
ap-southeast-1,EC2 AMI,ami-0bffa25d42646ed41,NEWCML,available,"{""description"": ""AWS-VMImport service: Linux - Ubuntu 20.04.6 LTS - 5.4.0-164-generic"", ""public"": false, ""image_type"": ""machine"", ""root_device_type"": ""ebs"", ""virtualization_type"": ""hvm"", ""tags"": ""Name=NEWCML""}",2024-09-13T09:03:21.000Z
ap-southeast-1,EC2 AMI,ami-0491bc39b8219db8b,CISCO_CML,available,"{""description"": ""AWS-VMImport service: Linux - Ubuntu 20.04.6 LTS - 5.4.0-164-generic"", ""public"": true, ""image_type"": ""machine"", ""root_device_type"": ""ebs"", ""virtualization_type"": ""hvm"", ""tags"": ""Name=CISCO_CML""}",2024-09-12T12:18:55.000Z
ap-southeast-1,EC2 Snapshot,snap-054bae6e1389f03b6,N/A,completed,"{""volume_id"": ""vol-ffffffff"", ""volume_size_gb"": 32, ""description"": ""Created by AWS-VMImport service for import-ami-0b6fb0c069d1dcd4c"", ""encrypted"": false, ""owner_id"": ""509784428550"", ""tags"": ""N/A""}",2024-09-12T12:18:51.293000+00:00
ap-southeast-1,EC2 Snapshot,snap-0d53df09fb33f92b3,N/A,completed,"{""volume_id"": ""vol-ffffffff"", ""volume_size_gb"": 32, ""description"": ""Created by AWS-VMImport service for import-ami-0a12d850cb2f197c8"", ""encrypted"": false, ""owner_id"": ""509784428550"", ""tags"": ""N/A""}",2024-09-13T09:03:13.820000+00:00
